a**2 :3	b :4	c :5
a**2 :4	b :3	c :5
a**2 :5	b :12	c :13
a**2 :6	b :8	c :10
a**2 :7	b :24	c :25
a**2 :8	b :6	c :10
a**2 :8	b :15	c :17
a**2 :9	b :12	c :15
a**2 :9	b :40	c :41
a**2 :10	b :24	c :26
a**2 :11	b :60	c :61
a**2 :12	b :5	c :13
a**2 :12	b :9	c :15
a**2 :12	b :16	c :20
a**2 :12	b :35	c :37
a**2 :13	b :84	c :85
a**2 :14	b :48	c :50
a**2 :15	b :8	c :17
a**2 :15	b :20	c :25
a**2 :15	b :36	c :39
a**2 :16	b :12	c :20
a**2 :16	b :30	c :34
a**2 :16	b :63	c :65
a**2 :18	b :24	c :30
a**2 :18	b :80	c :82
a**2 :20	b :15	c :25
a**2 :20	b :21	c :29
a**2 :20	b :48	c :52
a**2 :21	b :20	c :29
a**2 :21	b :28	c :35
a**2 :21	b :72	c :75
a**2 :24	b :7	c :25
a**2 :24	b :10	c :26
a**2 :24	b :18	c :30
a**2 :24	b :32	c :40
a**2 :24	b :45	c :51
a**2 :24	b :70	c :74
a**2 :25	b :60	c :65
a**2 :27	b :36	c :45
a**2 :28	b :21	c :35
a**2 :28	b :45	c :53
a**2 :30	b :16	c :34
a**2 :30	b :40	c :50
a**2 :30	b :72	c :78
a**2 :32	b :24	c :40
a**2 :32	b :60	c :68
a**2 :33	b :44	c :55
a**2 :33	b :56	c :65
a**2 :35	b :12	c :37
a**2 :35	b :84	c :91
a**2 :36	b :15	c :39
a**2 :36	b :27	c :45
a**2 :36	b :48	c :60
a**2 :36	b :77	c :85
a**2 :39	b :52	c :65
a**2 :39	b :80	c :89
a**2 :40	b :9	c :41
a**2 :40	b :30	c :50
a**2 :40	b :42	c :58
a**2 :40	b :75	c :85
a**2 :42	b :40	c :58
a**2 :42	b :56	c :70
a**2 :44	b :33	c :55
a**2 :45	b :24	c :51
a**2 :45	b :28	c :53
a**2 :45	b :60	c :75
a**2 :48	b :14	c :50
a**2 :48	b :20	c :52
a**2 :48	b :36	c :60
a**2 :48	b :55	c :73
a**2 :48	b :64	c :80
a**2 :51	b :68	c :85
a**2 :52	b :39	c :65
a**2 :54	b :72	c :90
a**2 :55	b :48	c :73
a**2 :56	b :33	c :65
a**2 :56	b :42	c :70
a**2 :57	b :76	c :95
a**2 :60	b :11	c :61
a**2 :60	b :25	c :65
a**2 :60	b :32	c :68
a**2 :60	b :45	c :75
a**2 :60	b :63	c :87
a**2 :63	b :16	c :65
a**2 :63	b :60	c :87
a**2 :64	b :48	c :80
a**2 :65	b :72	c :97
a**2 :68	b :51	c :85
a**2 :70	b :24	c :74
a**2 :72	b :21	c :75
a**2 :72	b :30	c :78
a**2 :72	b :54	c :90
a**2 :72	b :65	c :97
a**2 :75	b :40	c :85
a**2 :76	b :57	c :95
a**2 :77	b :36	c :85
a**2 :80	b :18	c :82
a**2 :80	b :39	c :89
a**2 :84	b :13	c :85
a**2 :84	b :35	c :91
